studyid,fechaa1,r_a1,fechaa2,r_a2,fechaa3,r_a3,fechab1,r_b1,fechab2,r_b2,fechab3,r_b3,fechac1,r_c1,fechac2,r_c2,fechac3,r_c3,fechad1,r_d1,fechad2,r_d2,fechad3,r_d3,fechae1,r_e1,fechae2,r_e2,fechae3,r_e3,fechaf1,r_f1,fechaf2,r_f2,fechaf3,r_f3,fechag1,r_g1,fechag2,r_g2,fechag3,r_g3,fechah1,r_h1,fechah2,r_h2,fechah3,r_h3,fechai1,r_i1,fechai2,r_i2,fechai3,r_i3,fechaj1,r_j1,fechaj2,r_j2,fechaj3,r_j3,fechak1,r_k1,fechak2,r_k2,fechak3,r_k3,ms_a,h_ini,m_ini,p1,p2,p3_1,p3_2,p4a,p4b,p5a,p5b,p6,p7,p8a,p8b,p9a,p9b,p9c,p10a,p10b,p11,p12_1,p12_2,p12_3,p13_a,p13_b,p14,p15,p16,p17,p18,p19,p20,p21_a,p21_b,p22,p23,p24,p25,p26,p27_a,p27_b,p28,p29,p30_a,p30_b,p31_a,p31_b,p32,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_a,p35_b,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,h_ter,m_ter,min,weight,rp1,d1lc394,rp67,rp3_1,encue,sup,edo,muni,ageb,nreg,nciudad,cd,loca,date1,cases,total,muni_r
1305,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,39,3,3,2,8,2,2,8,2,45,1,8,1,1,1,1,4,4,1,5,1,3,17,9,2,1,1,2,7,1,2,3,1,4,7,3,3,1,2,1,4,53,11,60,27,61,1,1,1,2,1,2,2,11,9,2,3,2,7,1,3,3,2,1,3,1,1,1,1,2,7,7,7,1,2,2,7,7,5,1,1,2,5,7,1,1,3,16,5,26,1.1,3,3,2,1,9064,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1306,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,46,5,2,2,8,2,8,2,2,46,8,4,4,2,2,2,4,4,8,8,8,8,7,7,3,2,2,7,7,2,2,2,1,8,7,8,2,8,4,4,4,58,38,31,33,9,3,2,2,1,8,1,8,35,9,2,1,2,7,2,3,3,8,1,3,2,1,1,2,2,7,7,7,2,7,2,7,7,4,1,2,7,7,3,1,1,4,16,17,31,.9,4,2,3,1,9051,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1307,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,8,3,4,2,2,1,1,2,1,12,1,1,2,2,2,2,4,1,1,2,1,1,7,7,1,1,1,1,1,1,2,1,1,4,7,1,2,1,4,4,3,32,47,46,61,81,3,1,1,1,1,1,1,42,9,3,4,2,7,1,3,2,3,1,2,1,1,1,1,2,7,7,7,2,7,2,7,7,4,1,1,2,5,7,1,1,3,16,31,23,1.1,3,4,2,1,9015,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1308,41200,5, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,16,4,3,3,8,3,8,8,3,12,1,8,8,1,1,1,4,4,3,4,1,1,7,7,3,3,1,1,2,2,2,4,1,2,2,2,2,1,4,4,4,52,84,9,9,9,3,2,2,2,2,2,2,16,9,2,1,1,9,2,2,4,4,2,4,1,1,1,1,2,7,7,7,2,7,2,7,7,5,2,1,1,5,7,1,1,3,16,40,26,.8,4,3,2,2,9064,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1309,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,27,3,4,2,2,1,1,2,2,8,1,4,4,2,2,2,4,4,2,1,3,3,17,9,3,2,1,2,7,1,2,3,1,2,3,1,2,1,4,4,3,12,78,9,11,9,2,2,1,2,1,1,1,35,9,5,1,2,7,2,3,3,3,1,3,1,1,3,1,2,7,7,7,1,1,1,1,2,5,1,1,3,5,7,1,1,3,16,58,31,1.1,3,4,2,1,9051,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1310,41200,5, ,0, ,0,41200,6, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,57,2,4,2,2,1,3,2,1,59,2,2,1,2,1,2,4,5,1,3,1,1,7,7,2,1,2,7,7,2,2,2,2,2,2,2,2,1,2,4,3,13,78,40,11,33,1,1,1,2,2,1,1,11,9,5,1,2,7,2,3,4,3,2,4,1,1,4,1,2,7,7,7,1,2,2,7,7,2,2,1,3,5,7,1,1,4,17,23,26,.7,2,4,3,1,9015,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1311,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,2,5,2,2,2,2,2,8,2,9,1,1,1,2,2,2,4,4,2,1,1,1,7,7,8,8,2,7,7,2,2,4,1,4,7,3,3,8,2,2,3,12,66,9,40,9,3,2,2,8,8,8,2,9,9,2,1,1,2,1,2,3,3,1,8,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,2,1,4,15,35,33,.73,4,2,3,1,9064,3,12,35,038-6,6,4,1,65,51200,1,1,1235
1312,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,4,5,2,2,8,2,8,8,2,8,2,4,4,8,8,8,8,8,4,8,2,8,7,7,8,8,2,7,7,1,8,3,1,4,7,1,3,1,4,4,3,13,8,9,33,9,3,8,1,8,1,2,1,8,9,2,4,2,7,2,3,8,8,2,3,1,1,5,1,2,7,7,7,2,7,2,7,7,5,2,1,5,6,7,2,1,4,15,36,32,.73,4,2,3,1,9015,3,12,35,038-6,6,4,1,65,51200,1,1,1235
1313,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,7,3,4,1,1,1,1,2,2,59,3,4,1,1,1,2,4,2,1,1,4,1,7,7,2,1,1,2,7,2,2,4,4,4,7,1,3,1,4,4,3,12,8,9,8,9,1,1,1,1,1,1,1,16,9,2,1,1,1,1,12,2,2,1,2,1,1,1,1,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,1,1,3,15,39,32,.49,3,4,2,1,9051,3,12,35,038-6,6,4,1,65,51200,1,1,1235
1314,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,38,2,4,2,8,2,2,8,2,11,8,8,8,1,1,1,2,2,2,5,2,4,11,9,3,1,1,2,7,1,2,2,1,4,7,1,4,1,4,4,3,12,84,9,12,20,3,1,2,2,8,2,8,11,9,1,1,2,7,1,3,3,3,1,4,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,1,1,5,7,2,13,3,16,7,29,.64,2,4,2,1,9064,3,12,35,038-6,6,4,1,65,51200,1,1,1235
1315,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,44,4,4,1,2,2,2,2,2,11,1,1,1,2,1,1,4,4,1,1,1,1,7,7,1,2,2,7,7,1,1,1,1,3,3,2,4,1,4,4,3,12,46,9,12,9,3,1,1,1,1,1,1,8,9,1,1,1,2,1,3,3,4,1,3,1,1,3,2,2,7,7,7,1,2,2,7,7,1,1,1,3,5,7,1,1,4,16,12,28,.81,4,4,3,1,9015,3,12,35,038-6,6,4,1,65,51200,1,1,1235
1316,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,48,3,4,2,2,1,1,2,2,8,2,4,4,2,1,8,4,4,2,3,2,2,7,7,2,2,2,7,7,2,2,2,2,2,9,2,2,2,3,3,1,7,8,9,8,9,3,1,1,2,8,1,8,16,9,3,2,1,2,1,3,2,3,2,3,2,2,1,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,2,1,3,16,18,30,.49,3,4,2,1,9051,3,12,35,038-6,6,4,1,65,51200,1,1,1235
