studyid,fechaa1,r_a1,fechaa2,r_a2,fechaa3,r_a3,fechab1,r_b1,fechab2,r_b2,fechab3,r_b3,fechac1,r_c1,fechac2,r_c2,fechac3,r_c3,fechad1,r_d1,fechad2,r_d2,fechad3,r_d3,fechae1,r_e1,fechae2,r_e2,fechae3,r_e3,fechaf1,r_f1,fechaf2,r_f2,fechaf3,r_f3,fechag1,r_g1,fechag2,r_g2,fechag3,r_g3,fechah1,r_h1,fechah2,r_h2,fechah3,r_h3,fechai1,r_i1,fechai2,r_i2,fechai3,r_i3,fechaj1,r_j1,fechaj2,r_j2,fechaj3,r_j3,fechak1,r_k1,fechak2,r_k2,fechak3,r_k3,ms_a,h_ini,m_ini,p1,p2,p3_1,p3_2,p4a,p4b,p5a,p5b,p6,p7,p8a,p8b,p9a,p9b,p9c,p10a,p10b,p11,p12_1,p12_2,p12_3,p13_a,p13_b,p14,p15,p16,p17,p18,p19,p20,p21_a,p21_b,p22,p23,p24,p25,p26,p27_a,p27_b,p28,p29,p30_a,p30_b,p31_a,p31_b,p32,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_a,p35_b,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,h_ter,m_ter,min,weight,rp1,d1lc394,rp67,rp3_1,encue,sup,edo,muni,ageb,nreg,nciudad,cd,loca,date1,cases,total,muni_r
1295,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,19,41,2,3,2,2,2,2,2,2,11,2,8,8,1,1,2,4,4,2,5,5,5,7,7,2,2,2,7,7,1,2,2,1,2,3,1,3,1,4,4,3,12,39,9,39,9,2,1,1,1,1,1,1,8,9,1,1,2,7,2,1,2,3,1,4,2,1,1,1,2,7,7,7,2,7,2,7,7,2,1,1,5,3,7,2,1,4,20,5,24,2.16,2,3,3,1,9064,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1296,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,18,22,2,3,3,8,3,8,8,3,11,2,8,8,2,8,1,4,8,2,2,2,2,7,7,3,2,2,7,7,2,1,4,1,3,2,1,3,1,4,4,3,13,11,46,12,11,4,1,1,2,1,2,2,8,9,4,1,1,2,2,3,4,3,2,3,1,1,5,1,1,1,4,11,1,1,2,7,2,5,2,1,3,5,7,2,12,4,18,48,26,.73,2,3,3,2,9015,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1297,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,19,10,1,3,2,2,1,3,2,1,8,2,1,1,8,8,8,2,1,2,2,2,2,7,7,2,2,1,2,7,2,2,3,4,1,1,1,1,3,3,4,3,13,8,9,8,9,1,1,1,2,1,1,1,36,9,3,2,2,7,2,2,3,3,2,2,2,1,2,2,2,7,7,7,2,7,2,7,7,1,1,2,7,7,2,2,1,3,19,38,28,1.54,1,3,2,1,9051,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1298,41200,5, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,18,47,4,3,2,8,2,2,8,2,12,2,8,8,2,2,2,4,4,8,5,5,5,7,7,3,8,2,7,7,3,2,4,1,8,7,1,3,2,4,4,3,13,39,9,9,9,3,1,2,2,2,2,8,8,9,2,1,2,7,2,3,4,4,1,8,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,2,1,4,19,15,28,.84,4,3,3,1,9064,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1299,41200,5, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,57,5,3,3,8,3,8,8,3,26,2,4,4,2,2,2,8,8,4,8,8,8,7,7,3,8,2,7,7,8,8,3,1,4,7,1,2,1,4,4,3,13,84,9,39,46,3,1,2,1,1,1,1,8,9,2,4,2,7,2,3,4,3,2,4,1,1,5,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,3,19,31,34,.84,4,3,2,2,9015,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1300,41200,5, ,0, ,0,41200,6, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,19,46,5,1,2,2,1,1,1,2,8,1,1,4,2,2,8,4,4,2,2,2,2,7,7,3,2,2,7,7,2,2,3,2,1,2,1,1,1,4,4,1,7,8,9,8,9,3,1,1,1,1,1,1,8,9,2,1,1,2,2,1,2,2,2,2,1,1,4,1,2,7,7,7,2,7,2,7,7,1,1,1,5,3,7,1,1,3,20,16,30,.93,4,2,2,1,9051,3,12,35,007-0,6,4,1,65,41200,1,1,1235
1301,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,3,3,3,3,8,3,8,8,8,8,2,2,2,2,2,2,8,8,2,4,3,3,8,9,3,2,1,2,7,3,2,2,1,3,3,1,2,1,4,4,3,12,84,9,12,9,2,8,2,2,1,2,8,8,9,2,1,2,7,2,3,4,4,2,4,1,1,5,2,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,1,4,15,25,22,.54,3,3,3,2,9015,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1302,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,8,1,3,2,2,1,1,2,2,12,2,1,1,2,2,2,4,2,2,5,2,2,7,7,2,1,2,7,7,1,2,2,1,3,2,1,2,1,4,4,3,12,72,31,33,20,8,1,1,2,1,1,1,8,9,1,1,1,2,2,1,2,3,1,4,1,1,3,1,2,7,7,7,2,7,2,7,7,2,1,1,5,3,7,1,1,3,15,32,24,1.48,1,3,2,1,9064,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1303,41200,4, ,0, ,0,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,5,2,4,2,2,3,1,2,2,12,1,4,4,1,2,1,4,4,2,2,1,3,11,8,2,2,1,2,7,1,2,3,1,2,2,1,2,1,3,4,3,12,38,47,53,9,3,1,2,2,8,1,1,12,9,1,1,2,7,2,1,3,2,1,4,1,1,1,1,2,7,7,7,2,7,2,7,7,5,2,1,1,5,7,2,1,3,15,42,37,.7,2,4,2,1,9051,3,12,35,009-A,6,4,1,65,41200,1,1,1235
1304,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,31,2,3,2,8,2,8,8,3,26,2,2,3,2,2,2,4,4,3,1,1,1,7,7,2,2,2,7,7,2,2,3,1,4,7,1,8,1,4,4,3,26,46,66,33,9,3,1,1,1,1,1,2,48,9,3,1,1,2,2,2,2,3,2,4,1,1,4,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,3,15,56,25,.7,2,3,2,1,9015,3,12,35,009-A,6,4,1,65,41200,1,1,1235
