pais,idnum,uniq_id,estratop,estratos,prov,cluster,ur,tamano,idiomaq,fecha,wt,q1,q2y,q2,ls3,a4,soct2,idio2,np1,np2,sgl1,cp4a,cp5,cp6,cp7,cp8,cp13,cp20,cpss1,it1,l1,prot3,jc10,jc13,jc15a,vic1ext,vic1exta,vic2,vic2aa,vic1hoga,mexvic10,mexvic_1,mexvic_2,mexvic_3,mexvic_4,pole2n,aoj11,pese1,pese2,aoj17,aoj12,aoj22,b1,b2,b3,b4,b6,b10a,b12,b13,b18,b20,b20a,b21,b21a,b32,b47a,n9,n11,n15,b3milx,mil3,mil4,pr3a,pr3b,pr3c,pr3d,pr3e,pr4,m1,sd2new2,sd3new2,sd6new2,infrax,coer1,ros1,ros4,ing4,eff1,eff2,mil7,env1,dst1,pn4,w14a,e5,e15,e3,e16,d1,d2,d3,d4,d5,d6,per4,per9,dem2,dem11,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7,diso7,diso8,diso10,diso18,diso14,diso16,diso17,vicbar1,vicbar1f,vicbar3,vicbar4,vicbar7,fear10,vic44,vic43,vicziz14,fear6e,fear6f,vb1,inf1,vb2,vb3n,vb4new,vb101,vb10,vb11,pol1,vb20,clien1n,clien1na,for1n,for4,for5,for6,for7,for6b,for7b,mil10a,mil10c,mil10e,vol207n,vol208n,dvw1,dvw2,wf1,cct1b,mex121,mex122a,mex122b,mex122c,mex122d,mex122e,mex123a,mex123b,mex124,mex125,ed,ed2,q3c,q5b,ocup4a,ocup1a,q10new,q10g,q10a,q14,q10d,q10e,q11n,q12c,q12bn,q12,etid,leng1,leng4,mexetid1,www1,gi0,gi1,gix4,gi4,gi7,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,r26,colorr,sexi,colori,national,formatq,sex,gi7r
1,84e08a09-649d-45c3-a819-eb498a95b1e4-d0fc100b003804bd43433139,14010728,103,2,117,802,1,3,1,1/30/2014,1,2,1975,39,2,1,3,3,2,2,3,1,4,1,2,4,4,4,4,3,1,2,2,1,1,2, , , ,2,3,4, ,4,2,3,3,2,2, ,3,1,4,4,3,6,5,4,5,3,2,7, ,4,2,2,2, ,2,2,4,4, ,3,4,5,5,5,5,3,3,3,4,4,4, , ,4,2,2,3,1,2,4,1,5,5,5,5,3,5,5,5,4,1,3,6,2,2,0,0,0, ,0, ,0,0,0,2,2,1,1,1,1,1,1,1,2,1,2,1,1,0,0,2,2,2,1,1,1,103, , ,2, ,3,3,2,2, ,1,1,1, ,1, ,3,3,3,5,2,3,3,2,2,3,7,2,5,5,3,1,3,3,2,6,0,1,1,5, ,10, ,2,2,3,3,2,5,1,3, ,101,1,2,5,4, , ,1, ,1,0,1,0,0,0,0,1,1,1,1,1,1,0,6,2,6,1,1,2, 
1,5f71e18c-3a42-4ee0-8c82-ceb42ae67d26-5e4420df4621713f43442221,14010609,102,1,116,771,1,5,1,2/15/2014,1,2,1974,40,1, ,3,2,2,2,2,2,4,4,4,4,4,4,4,2,10,2,1, ,2,2, , , ,2,3,4,4,3,2,3,2,3,3,4,1,2,5,5,6,4,7,3, ,4,1,7,1,4,4,5,4,4,4,4,5,4,6,4,7,6,5,5,5,3,2, ,2,6,4,3,5,5,3,4,4,1,1, ,2,4,2,2,2,7,7,5,4, , ,3,5, ,2,0,0,0, ,0, ,0, ,0,2,3,5,3,4,3,5,5,2, ,2,2,2,0,0,0,3,2, ,1,1,1,103, , ,2, ,3,3,2,2, , ,13,2,4,1,4, , , ,5,4,3,3,2,2,3,4,3,4,4,4,3,4,2,2,3,1,1,2,5, ,9, ,2,2,4,3,2,3,1,1,3,101,1,1,5,2,2, , , ,1,0,0,1,0,0,1,1,1,0,0,1,0,1,6,2,4,1,2,2, 
1,2394b17c-0703-4891-accf-d9a02a338771-bfe8f316e225d1054340610,14010301,101,1,119,862,1,2,1,1/31/2014,1,1,1940,74,1,13,2,1,2,2,2,2,4,4,4,4,4, ,4,3,10,2,1,1,1,2, , , ,2,2,2,4,3,2,4,2,3,3,3,3,2,2,5,4,6,5,1,7,1,1,7,1,3,5,7,4,1,4,2,6,2,5,1,1,5,7,5,5,4,2,2,3,3,4,3,7,7,1,5,7,3,2,3,2,10,9,4,5,5,10,8,8,5,5,5,7,2,1,1,0,0,1, , , , ,0,1,3,3,4,3,4,3,5,2, , , ,2,0,0,0,1,2,1,1,1,1,101, , ,1,102,2,2,2,1,4,4,4,4, ,1,3,4,4,2,3,3,1,1,2,2,4,1,1,4,7,1,2,1,2,2,6,0,1,2,6, , , ,2,2,2,2,6, , , ,2,101,1,2,5,1, , ,1, ,1,0,1,0,1,1,0,1,1,0,0,1,0,1,6,2,5,1,2,1, 
1,0b939a46-1e89-4299-ae3a-85211e5623af-122606e0decc11d4344574,14010139,104,2,130,1271,1,3,1,2/11/2014,1,1,1949,65,3,3,3,3,2,2,3,2,4,1,4,4,4, ,4,2, ,2,2,2,2,2, , , ,2,3,3,4,3, ,2,2,3,3,4,3,2,2,4,4,2,2,2,4,1,1,3,1,2,1,4,4,3,3,2,2,5, ,2,4,5,4,2,4,4,2, ,4,3,4,3,6,6,2,3,5,1,3, ,1,3,1,1,6,10,8,9,8,4,4,2,6,3,2,0,0,0, , , ,0, ,0,2,5,5,5,5,4,4,5,2, ,2,1,2,0,0,0,3,2,2,1,1, , , , ,2, ,4, ,2,2,12,4,4,3,4,1,2,4,4,2,4,2,3,3,1,2,4,2,2,3,4,4,4,3,1,2,5,1,1,2,6, , , ,2,2,3,3,3,5,2,2,7,101,1,2,5,2, , ,1,500,1,0,1,0,1,1,0,1,1,0,0,1,0,1,4,1,6,1,2,1,1
1,e612c079-c25b-4296-8f6b-70f4e0c12ceb-a380c45ea789e5a843543207,14011381,104,3,112,422,1,4,1,1/27/2014,1,2,1974,40,1,5,3,3,2,2,2,2,4,1,2,4,4,4,1,1, ,2, , , ,2, , , ,2,2,2,4,3,2,2,3,3,3,4,2,1,4,4,3,3,3,5,5,3,5,5, ,1, ,6, ,3,3,3,6,1,1, ,5,6,5, ,5,2, ,2,2,3,3,1,7,7,3,3, ,2,3,2,1,1,1,1,1, ,8,1,1,8,1,5,6,2,2,0,0,0, , , , , ,0,1,4,4, ,4,4,3,3,2, , ,1,2,1,0,0,3,2,2,1,1,2, ,8, ,2, ,4,1,2,2,4, ,13,1,4,1,3, , ,4,3,3,3,3,2,2, , , , , , ,1,4,1,2,6,1,12,1,5, , , ,2,2,2,3,2,3,1,1,1,101,1,2,3,1,1, ,2, ,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3,1,3,1,1,2, 
1,84e08a09-649d-45c3-a819-eb498a95b1e4-d0fc100b003804bd4343317,14010750,104,1,112,411,1,3,1,1/25/2014,1,1,1979,35,1,1,2,2,2,2,3,2,4,4,3,4,4, ,4,2,4,2,1,1,2,2, , , ,2,2,2,4,3,2,2,2,2,2,4,3,3,6,7,6,7,6,6,7,6,6,5, ,6,6,6,6,4,5,6,7,1,7,1,3,5,6,5,6,2,2,3,2,2,3,4,6,7,6,5,7,3,3,1,1,9,1,1,1,6,7,1,1,9,8,2,7,2,1,0,0,0,1,0, ,1,0,0,2,2,4,4,4,4,4,4,2, ,2,2,2,1,0,0,1,3,3,1,1,1,102, , ,1,103,3,3,2,2,4,4,2,3,2,1,2,3,4,2,4,3,3,2,2,2,2, ,5,5,6,5,5,1,5,2,18,1,1,2,1,4,12,12,2,2,2,2,3,4,2,2,1,101,1,2,1,1,1, ,1, ,1,1,1,0,0,0,0,0,1,1,1,1,0,1,3,1,3,1,1,1, 
1,ab55fce1-d9ed-4305-a171-053793aad91b-dec52e5d3e0027443454145,14011029,102,1,111,371,1,2,1,2/3/2014,1,2,1967,47,1,5,2,2,2,2, ,2,4,2,2,4,4,4,4,3,7,2,1,2, ,2, , , ,2,3,3,4,3,2,2,3,3,2,1,3,1,4,2,2,1,5,4,5,3,3,5,1,2,2,3,1,3,3,2,2,1,1,1,4,4,4,1,2,4,2,2,2,3,4,3,4,3,1,3,3,3,3,3, ,3,3,1,3,3,1,2,1,4,1,3,3, ,2,0,0,0, ,0, , ,0,0,1,1,1,1,1,1,2,1,2, ,2,2,2,1,0,0,1,1,1,1,1,1,103, , ,2, ,2,2,2,2,4,4, ,1,2,1,4,4,4,4,4,4,3, ,2,2,2,5,3,3,4,3,3,1,5,2,6,0,1,2,1,1,12,10,2,2,2,3,1,5,0,1,3,101,1,1,5,1, , ,1, ,1,1,1,0,1,1,0,1,1,0,0,1,0,1,7,2,9,1,2,2, 
1,066767d6-7c2a-4a32-803d-6f27500df5e5-8b73e0cd66b15ae6434097,14010105,103,1,115,602,1,1,1,1/25/2014,1,2,1965,49,2,5,2,2,2,2,3,2,3,2,4,3,4,4,4,3,9,2,1,1,2,1,1,11,3,1,2,3,3,3,1,3,3,1,2,1,3,1,2,2,4,4,7,3,3,4,2,3,3,1,2,3,2,5,2,3,3,3,7,4,3,3,4,3,4,3,3,4,3,6,4,4,6,4,5,3,6,2,1,3,1,4,6,3,4,5,5,5,7,8,10,2,6,2,2,1,0,0, ,0, , , ,0,1,1,1,1,2,1,1,1,1, ,1,2,1,1,1,1,3,1,2,1,1,1,101, , ,1,102,2, ,2,2,1,1,4,1,3,1,3,2,4,3,5,3,2,3,2,2,4,1,1,1,1,1,3,5,2, ,9,1,1,1,1,2,10,12,2,2,2,3,6,2,1,3,2,101,1,1,1,3,1,1,1, ,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,6,1,2,2, 
1,8f22307a-ff38-4f67-bdc8-153cdadea0e4-e4eaeac04412b69043407106,14010866,104,3,120,891,1,4,1,1/31/2014,1,1,1986,28,2,1,3,2,2,2,4,2,4,4,4,2,4, ,4,2, ,2,1,1, ,2, , , ,2, ,4,4,3,2,3,3,1,1,1,3,1,3,4,2,3,7,3,7,3,1,4,2,3,4,2,4,3,3,4,6,5,5,5,7,5,4,2,3,2,3,3,4,5,4,6,3,4,3,4,6,1,2,3,2,7,3,2,5,5,2,2,2,4,3,2,4,2,2,0,0,0, ,0, , , ,0,2,2,3,4,4,4,5,5,1,3,2,2,2,0,0,0,1,2,2,1,2,1, , , ,2, ,3,2,2,2,4,4,4,2,4,2,3,4, ,2,5,5,3, ,2,2, , , , ,4, ,4,3,1,2,4,0,1,3,1,4,1,1,2,2,4,3,1,3,0,0,3,107,3,1,5,2, , ,2,0,1,0,0,0,0,0,0,0,1,0,0,0, ,0,8,1,5,1,2,1,0
1,d043a416-4053-4610-ad3c-c2c7c6394a13-740e803d70ed6ce443409186,14011265,103,1,121,971,1,2,1,2/22/2014,1,1,1968,46,1,27,3,2,2,2,4,2,4,1,4,4,4, ,4,2, ,2,1,1,2,2, , , ,2,4,2,4,3,2,2,2,3,2,4,1,1,4,4,3,4,6,4,7,4,7,7, ,4,4,4,3,4,5,5,6,1,1,5,7,7,7,5,7,2,3,2,3,2,4,7,7,7,2,4,6,1,1,3,1,5,1,1,1,5,7,5,3,1,4,3,5,3,2,0,0,0, ,0, ,0,0,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,0,0,1,1,1,1,1,1,101, , ,2, ,4,2,2,2,4,4,1,1,4,1,4,4,4,4,5,3,3,3,2,2,5,1,1,3,4,4,4,5,5,2,12,1,1,1,1,4,11,10,2,2,2,1,2,5,0,3,3,101,1,1,3,1,1,1,1, ,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,6,1,2,1, 
